ID Obra,Ano Início Obra,Data Início,Ano Fim Obra,Data Fim,UF,Município,Latitude,Longitude,Execução Física,Execução Financeira,Investimento Total,Modalidade,Tipo de Instrumento,Tipo,Subtipo,CNPJ Executor,Funcional Programática,Emenda,Plurianual Prioritário,PróBrasil,Restos a Pagar,Valor Conclusão,Valor Empenhado,Valor Repasse,Valor Desembolsado,Motivo Paralisação,Causa Paralisação,Justificativa Tratativa,Data Previsão Retomada,Data Criação,Data Atualização
764184,2011,2011-12-27 00:00:00,2013,2013-12-27 00:00:00,CE,COREAU/CE,-3.551979,-40.652841,-,-,100205.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
766329,2011,2011-12-29 00:00:00,2020,2020-01-31 00:00:00,CE,FORQUILHA/CE,-3.799447,-40.263405,-,0.8032128529106128,696595.92,-,-,-,-,-,-,-,-,-,-,0,0,0,682664.0,-,-,-,-,-,-
766712,2011,2011-12-31 00:00:00,2013,2013-06-30 00:00:00,CE,MORADA NOVA/CE,-5.10767,-38.372785,-,-,204584.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
768306,2011,2011-12-30 00:00:00,2013,2013-12-30 00:00:00,CE,IBARETAMA/CE,-4.819434,-38.820848,-,-,1007755.1,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
768321,2011,2011-12-30 00:00:00,2013,2013-12-27 00:00:00,CE,MONSENHOR TABOSA/CE,-4.787951,-40.063949,-,-,200409.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
768373,2011,2011-12-30 00:00:00,2013,2013-06-30 00:00:00,CE,QUIXELO/CE,-6.251124,-39.199546,-,-,322775.82,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
770194,2012,2012-12-31 00:00:00,2015,2015-03-31 00:00:00,CE,QUIXELO/CE,-6.251124,-39.199546,-,-,295300.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
770203,2012,2012-12-27 00:00:00,2015,2015-12-27 00:00:00,CE,FORTALEZA/CE,-3.730451,-38.521799,-,-,1500000.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
770970,2012,2012-12-26 00:00:00,2016,2016-06-26 00:00:00,CE,TAUA/CE,-6.003137,-40.294727,-,-,1028750.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
771584,2012,2012-12-27 00:00:00,2015,2015-12-27 00:00:00,CE,ARACOIABA/CE,-4.370258,-38.808431,-,-,302000.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
771623,2012,2012-12-28 00:00:00,2015,2015-12-28 00:00:00,CE,SOBRAL/CE,-3.687914,-40.345637,-,-,902113.33,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
772628,2012,2012-12-27 00:00:00,2016,2016-06-27 00:00:00,CE,FORTALEZA/CE,-3.730451,-38.521799,-,-,550000.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
773073,2012,2012-12-11 00:00:00,2014,2014-12-12 00:00:00,CE,IPUEIRAS/CE,-4.542714,-40.716846,-,-,845051.8,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
773126,2012,2012-11-27 00:00:00,2015,2015-05-27 00:00:00,CE,ERERE/CE,-6.03113,-38.348217,-,-,507893.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
779902,2012,2012-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,FORTALEZA/CE,-3.730451,-38.521799,-,-,328112.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
781682,2012,2012-12-31 00:00:00,2015,2015-12-21 00:00:00,CE,UMIRIM/CE,-3.677774,-39.348725,-,-,703587.14,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
781754,2012,2012-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,FORTALEZA/CE,-3.730451,-38.521799,-,-,328112.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
782070,2012,2012-12-31 00:00:00,2015,2015-12-21 00:00:00,CE,CASCAVEL/CE,-4.129666,-38.241178,-,-,822800.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
782255,2013,2013-12-26 00:00:00,2015,2015-12-30 00:00:00,CE,MOMBACA/CE,-5.74509,-39.629352,-,-,501750.41,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
783111,2013,2013-12-05 00:00:00,2016,2016-11-24 00:00:00,CE,CAPISTRANO/CE,-4.464469,-38.895673,-,-,493100.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
783163,2013,2013-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,MADALENA/CE,-4.854296,-39.576644,-,-,502962.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
783450,2013,2013-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,MADALENA/CE,-4.854296,-39.576644,-,-,402084.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
783481,2014,2014-06-03 00:00:00,2017,2017-05-23 00:00:00,CE,CHOROZINHO/CE,-4.301089,-38.497692,-,-,257728.75,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
784220,2013,2013-12-31 00:00:00,2016,2016-12-30 00:00:00,CE,ITAPIPOCA/CE,-3.496059,-39.58192,-,-,513650.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
784319,2013,2013-11-29 00:00:00,2016,2016-05-17 00:00:00,CE,CAUCAIA/CE,-3.730056,-38.659308,-,-,690900.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
784359,2013,2013-12-31 00:00:00,2016,2016-12-20 00:00:00,CE,ERERE/CE,-6.03113,-38.348217,-,-,261000.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
784945,2013,2013-12-17 00:00:00,2021,2021-09-30 00:00:00,CE,GUAIUBA/CE,-4.041266,-38.636908,-,0.6264559987599848,513284.67,-,-,-,-,-,-,-,-,-,-,0,0,0,394480.0,-,-,-,-,-,-
784989,2013,2013-10-22 00:00:00,2018,2018-07-09 00:00:00,CE,MIRAIMA/CE,-3.568674,-39.966267,-,0.5160005154706359,405449.73,-,-,-,-,-,-,-,-,-,-,0,0,0,315360.0,-,-,-,-,-,-
785471,2013,2013-12-03 00:00:00,2016,2016-11-22 00:00:00,CE,PENTECOSTE/CE,-3.795025,-39.267073,-,-,301326.53,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
785473,2013,2013-12-04 00:00:00,2016,2016-11-23 00:00:00,CE,AMONTADA/CE,-3.363459,-39.828479,-,-,301326.53,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
785625,2013,2013-11-29 00:00:00,2016,2016-02-26 00:00:00,CE,ARACATI/CE,-4.558259,-37.767894,-,-,307605.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
785843,2013,2013-11-04 00:00:00,2016,2016-10-24 00:00:00,CE,CHOROZINHO/CE,-4.301089,-38.497692,-,-,301327.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
785976,2013,2013-12-31 00:00:00,2018,2018-05-20 00:00:00,CE,CRATEUS/CE,-5.178245,-40.669655,-,0.8543338091045398,675414.69,-,-,-,-,-,-,-,-,-,-,0,0,0,296000.0,-,-,-,-,-,-
786377,2013,2013-10-22 00:00:00,2016,2016-10-11 00:00:00,CE,MIRAIMA/CE,-3.568674,-39.966267,-,-,260960.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
786394,2013,2013-11-04 00:00:00,2016,2016-10-24 00:00:00,CE,RUSSAS/CE,-4.935428,-37.978384,-,-,295300.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
786420,2013,2013-12-27 00:00:00,2016,2016-12-16 00:00:00,CE,JAGUARUANA/CE,-4.831508,-37.780997,-,-,261040.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
786749,2013,2013-11-04 00:00:00,2016,2016-10-24 00:00:00,CE,FORQUILHA/CE,-3.799447,-40.263405,-,-,507893.0,-,-,-,-,-,-,-,-,-,-,0,0,0,0.0,-,-,-,-,-,-
