ID Obra,Ano Início Obra,Data Início,Ano Fim Obra,Data Fim,UF,Município,Latitude,Longitude,Execução Física,Execução Financeira,Investimento Total,Modalidade,Tipo de Instrumento,Tipo,Subtipo,CNPJ Executor,Funcional Programática,Emenda,Plurianual Prioritário,PróBrasil,Restos a Pagar,Valor Conclusão,Valor Empenhado,Valor Repasse,Valor Desembolsado,Motivo Paralisação,Causa Paralisação,Justificativa Tratativa,Data Previsão Retomada,Data Criação,Data Atualização
756970,2011,2011-12-16 00:00:00,2018,2018-06-11 00:00:00,CE,BATURITE/CE,-4.32902,-38.882106,-,0.9817732331360204,1523869.91,-,-,-,-,-,-,-,-,-,-,0,0,0,447001.36,-,-,-,-,-,-
789884,2013,2013-12-02 00:00:00,2021,2021-10-27 00:00:00,CE,MUCAMBO/CE,-3.904329,-40.745443,-,0.8923056020165449,1065238.93,-,-,-,-,-,-,-,-,-,-,0,0,0,279589.56,-,-,-,-,-,-
792667,2013,2013-12-31 00:00:00,2021,2021-06-30 00:00:00,CE,PINDORETAMA/CE,-4.026518,-38.306683,-,0.9999981602387478,907633.92,-,-,-,-,-,-,-,-,-,-,0,0,0,654616.42,-,-,-,-,-,-
819415,2015,2015-12-18 00:00:00,2021,2021-10-27 00:00:00,CE,MUCAMBO/CE,-3.904329,-40.745443,-,0.9598937422023256,293012.14,-,-,-,-,-,-,-,-,-,-,0,0,0,285410.0,-,-,-,-,-,-
828544,2016,2016-12-08 00:00:00,2023,2023-07-26 00:00:00,CE,RERIUTABA/CE,-4.141835,-40.582436,-,0.6548201052610688,424044.77,-,-,-,-,-,-,-,-,-,-,0,0,0,338880.0,-,-,-,-,-,-
829405,2016,2016-12-14 00:00:00,2021,2021-10-27 00:00:00,CE,MUCAMBO/CE,-3.904329,-40.745443,-,0.6680942943851369,302478.61,-,-,-,-,-,-,-,-,-,-,0,0,0,295300.0,-,-,-,-,-,-
834795,2016,2016-12-08 00:00:00,2024,2024-04-28 00:00:00,CE,RERIUTABA/CE,-4.141835,-40.582436,-,0.5955281100503361,256831.34,-,-,-,-,-,-,-,-,-,-,0,0,0,196680.0,-,-,-,-,-,-
